Date,headline,summary,open,close,high,low,volume,daily_gap,sentiment,sentiment_score
2024-07-11,"NVIDIA : ‘Once Human,’ Twice the Thrills on GeForce NOW","Unlock new experiences every GFN Thursday. Whether post-apocalyptic survival adventures, narrative-driven games or vast, open worlds, GeForce NOW always has something fresh for members to explore. ...",135.9799,127.46,136.14999,127.050003,343344320,0.06265558365611383,Positive,0.99359185
2025-01-28,Taleb Says Nvidia Rout 'Is the Beginning',"-- Black Swan author Nassim Taleb says the steep plunge in Nvidia exposes the equity market's fragility, while warning of more losses ahead. Speaking to Bloomberg's Sonali Basak on the sidelines of...",121.81,129.0,129.0,116.26,18186127,0.059026352516213756,Negative,0.59099334
2024-06-20,NVIDIA : Crack the Case With ‘Tell Me Why’ and ‘As Dusk Falls’ on GeForce NOW,"Sit back and settle in for some epic storytelling. Tell Me Why and As Dusk Falls - award-winning, narrative-driven games from Xbox Studios - add to the 1,900+ games in the GeForce NOW...",139.85001,130.72,140.75999,129.53,471375217,0.06528429994391848,Positive,0.99879384
2025-02-27,"Nvidia beats forecasts, gives upbeat Blackwell news","The FTSE 100 was called to open lower on Thursday, following US President Donald Trump's claim that the US will impose 25% tariffs on EU goods.Of course, the tariff threats [against Canada and...",135.0,120.010002,135.0,120.010002,397508814,0.11103702222222223,Negative,0.9455466
2024-07-30,"Down Between 17% and 35% From Their 52-Week Highs, Should You Buy the Dip on Nvidia, Broadcom, and AMD?",There are plenty of different ways to invest in artificial intelligence (AI) and growing demand for computing power.,111.51,103.7076,111.99,102.54,427590805,0.06997040624159273,Positive,0.99874663
2025-01-07,Nvidia CEO Says 2025 Is the Year of AI Agents,Many technology industry executives expect programs that have the ability to take simple directions and complete multistep tasks to drive the next wave of tech growth.,153.048004,140.12,153.13,140.0099945,321208783,0.08447025548925151,Positive,0.9999951
2024-08-01,"Dow Jones Futures Fall As Apple, Amazon Follow Market Expectations Breaker; Nvidia Tumbles",The stock market suffered an expectations breaker Thursday after Wednesday's rally. Apple and Amazon were earnings movers late.,117.6,109.33,120.16,106.8104,474096544,0.07032312925170064,Negative,0.99992514
2024-09-11,"AvaSure, Oracle and NVIDIA to create AI virtual concierge for hospitals",The aim is to build a seamless AI-based bedside experience via smart rooms that can work across various hospital departments.,109.5,116.85,117.18,107.6012,403458917,0.06712328767123282,Positive,0.99994123
2025-03-03,Nvidia-Backed CoreWeave Files For IPO After 2024 Revenue Surge,Nvidia-Backed CoreWeave Files For IPO After 2024 Revenue Surge,123.505,114.010002,123.7,112.28,374255909,0.0768794623699445,Positive,0.99990606
2024-08-05,What You Need To Know Ahead of Super Micro Computer's Earnings Report,"Super Micro Computer reports fiscal fourth-quarter earnings on Tuesday, with investors likely watching for signs of strong artificial intelligence (AI) demand and updates on the server maker's Nvidia partnership.",92.059998,100.6,103.4,100.010002,516207541,0.09276561140051298,Positive,0.9999957
2025-02-28,Managing Nvidia's Single-Stock Risk Through Diversified Semiconductor Exposure,"Semiconductors are at the core of global innovation, powering advancements in artificial intelligence, cloud computing, autonomous vehicles, and more.",118.035004,125.050003,125.07,116.41,335894839,0.05943151406171006,Positive,0.9999813
2024-09-03,£223bn wiped off Nvidia stock in Wall Street sell-off,American stock markets fell this afternoon after manufacturing in the world’s largest economy contracted for a fifth month in a row.,115.26,107.98,115.3099,107.29,421707851,0.0631615478049627,Negative,0.9998783
2025-04-08,Top 3D Printing Stocks to Build Your Portfolios for Solid Returns,"The future of 3D Printing is supported by its edge over traditional manufacturing and rising adoption. NVDA, GE, CRS and PRLB will likely ride on this trend.",103.805,96.71,99.27,100.95,581756892.5,0.06834930880015426,Positive,0.9999852
2024-08-07,Dow Jones Rallies 300 Points; Nvidia Partner Super Micro Plunges On Earnings (Live Coverage),"Stock Market Today: The Dow Jones rallied 300 points Wednesday, as Nvidia partner Super Micro plunged on weak earnings results.",107.82,98.75,108.8,101.57,369495297,0.08412168428862914,Negative,0.99999917
2025-04-09,"Tesla, Nvidia Lead Magnificent 7 Stocks Higher as Tech Drives Broad Relief Rally","Tesla shares soared in Wednesday afternoon trading, leading other Magnificent Seven members higher amid a broad relief rally as President Trump announced a 90-day pause on some of the tariffs announced last week.",98.88,114.25,99.85,100.28,730496068.5,0.15544093851132693,Positive,0.9906102
2025-04-07,Nvidia Shares Drop 15% on Tariff Fears; Analyst Sees Possible Loophole,The drop follows tariff proposals by President Trump's administration that could increase costs for companies importing from Asia.,87.53,97.71,99.69,86.63,752036580,0.11630298183479941,Negative,0.99397415
