Date,Time,headline,summary,open,high,low,close,volume,daily_gap,sentiment,sentiment_score
2024-06-06,09:30,Chinese companies said to rent Nvidia GPUs from Oracle to bypass sanctions: report,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,124.091003,125.587,118.4,121.089001,281920950.0,0.024191939201265094,Neutral,0.9999907
2024-06-06,09:30,Nvidia: Another Strong Quarter Reaffirms Investment Case,"Nvidia Corporation's strong growth continues, supported by supply constraints in the market, largely derisking the investment case. Read more on NVDA stock here.",124.091003,125.587,118.4,121.089001,281920950.0,0.024191939201265094,Positive,0.99999976
2024-06-06,09:30,"Taiwan Semi likely to be included in U.S. antitrust probe of Nvidia, Microsoft, OpenAi- CNBC",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,124.091003,125.587,118.4,121.089001,281920950.0,0.024191939201265094,Neutral,0.9999907
2024-06-06,09:30,Hewlett Packard Enterprise Has A Long AI Runway (Rating Upgrade),"Hewlett Packard Enterprise benefits from expanding AI infrastructure, with improved revenue growth and margins expected. See why I'm upgrading HPE stock to Buy.",124.091003,125.587,118.4,121.089001,281920950.0,0.024191939201265094,Positive,1
2024-06-10,10:30,Nvidia growing to a 15% weight of the S&P 500 is ‘not out of the question’ - Evercore  ISI,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,119.92,122.47,119.56,122.3083,52422800.0,0.019915777184789867,Neutral,0.9999907
2024-06-10,10:30,"Commit To Buy NVIDIA At $6, Earn 79.2% Using Options",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,119.92,122.47,119.56,122.3083,52422800.0,0.019915777184789867,Neutral,0.9999907
2024-06-10,10:30,"Nasdaq, S&P, Dow are mixed with Fed’s rate decision and CPI looming",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,119.92,122.47,119.56,122.3083,52422800.0,0.019915777184789867,Neutral,0.9999907
2024-06-14,09:30,"As Apple, Nvidia Trade At All-Time High, Jim Cramer Tells Investors To Cash In On AI Stocks: 'Let's Not Be Too Greedy'",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,129.94,132.75,128.32001,132.63969,96646990.0,0.020776435277820565,Neutral,0.9999907
2024-06-14,09:30,"Market Clubhouse Morning Memo - June 14th, 2024 (Trade Strategy For SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META And TSLA)",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,129.94,132.75,128.32001,132.63969,96646990.0,0.020776435277820565,Neutral,0.9999907
2024-06-14,09:30,"Intel: Turnaround Is Working, I'm Bullish","Intel's stock may have dropped 40% YTD, but signs of a turnaround are evident with revenue growth and strategic investments.",129.94,132.75,128.32001,132.63969,96646990.0,0.020776435277820565,Positive,0.98975384
2024-06-14,09:30,When Will The Boom/Bust Rollercoaster End?,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,129.94,132.75,128.32001,132.63969,96646990.0,0.020776435277820565,Neutral,0.9999907
